"Key"	"en"	"es"	"cs"	"fi"	"fr"	"uk"	"sv"	"no"	"zh"	"tr"	"ru"	"ka"	"ro"	"pt"	"pl"	"nl"	"de"	"ko"	"ja"	"it"	"id"	"hi"	"bn"	"vi"	"ar"
"AssetIsUnknown"	"Could not get this Asset's information from Steam"	"No se pudo obtener la información de este elemento desde Steam"	"Nemohl získat informace tohoto aktiva od Steam"	"Ei voinut saada tämän omaisuuden tietoja höyrystä"	"Impossible d'obtenir les informations de cet Item depuis Steam"	"Не вдалося отримати інформацію цього активів з Steam"	"Kunde inte få denna tillgångs information från Steam"	"Kunne ikke få denne eiendelens informasjon fra Steam"	"无法从Steam获取该资产的信息"	"Bu varlığın bilgilerini buhardan alamadım"	"Не удалось получить информацию об этом ассете из Steam"	"ვერ მიიღე ამ აქტივის ინფორმაცია ორთქლისგან"	"Nu am putut obține informațiile acestui activ de la Steam"	"Não foi possível obter as informações desse ativo do Steam"	"Nie mogłem uzyskać informacji tego zasobu z Steam"	"Kon de informatie van dit actief niet uit Steam halen"	"Konnten die Informationen dieses Vermögenswerts nicht von Steam erhalten"	"이 자산의 정보를 Steam에서 얻을 수 없었습니다"	"アセットの情報がSteamから取得できません。"	"Impossibile ottenere le informazioni di questa risorsa da Steam"	"Tidak bisa mendapatkan informasi aset ini dari Steam"	"स्टीम से इस संपत्ति की जानकारी नहीं मिल सका"	"বাষ্প থেকে এই সম্পত্তির তথ্য পেতে পারেনি"	"Không thể lấy thông tin tài sản này từ Steam"	"لا يمكن الحصول على معلومات هذا الأصل من Steam"
"AssetIsNotDownloaded"	"This Asset is not downloaded, it does not exist anymore on your computer"	"Este elemento no ha sido descargado, no existe en tu computadora"	"Toto aktivum není staženo, ve vašem počítači již neexistuje"	"Tätä omaisuutta ei ladata, sitä ei enää ole tietokoneellasi"	"Cet Item n'est pas téléchargé, il n'existe plus sur votre ordinateur"	"Цей актив не завантажується, він більше не існує на вашому комп’ютері"	"Denna tillgång laddas inte ner, den finns inte längre på din dator"	"Denne eiendelen blir ikke lastet ned, den eksisterer ikke lenger på datamaskinen din"	"此资产尚未下载，不存在于您的电脑上"	"Bu varlık indirilmez, artık bilgisayarınızda mevcut değildir"	"Этот ассет не загружен, его больше нет на вашем компьютере"	"ეს აქტივი არ არის გადმოწერილი, ის თქვენს კომპიუტერში აღარ არსებობს"	"Acest activ nu este descărcat, nu mai există pe computer"	"Este ativo não é baixado, não existe mais no seu computador"	"Ten zasób nie jest pobierany, nie istnieje już na twoim komputerze"	"Dit actief wordt niet gedownload, het bestaat niet meer op uw computer"	"Dieses Vermögenswert wird nicht heruntergeladen, es existiert nicht mehr auf Ihrem Computer"	"이 자산은 다운로드되지 않으며 컴퓨터에 더 이상 존재하지 않습니다."	"アセットはDLされずPCには存在しません"	"Questa risorsa non viene scaricata, non esiste più sul tuo computer"	"Aset ini tidak diunduh, tidak ada lagi di komputer Anda"	"यह संपत्ति डाउनलोड नहीं की गई है, यह आपके कंप्यूटर पर मौजूद नहीं है"	"এই সম্পদটি ডাউনলোড করা হয়নি, এটি আপনার কম্পিউটারে আর বিদ্যমান নেই"	"Tài sản này không được tải xuống, nó không còn tồn tại nữa trên máy tính của bạn"	"لم يتم تنزيل هذا الأصل ، ولم يعد موجودًا على جهاز الكمبيوتر الخاص بك"
"AssetIsOutOfDate"	"Asset is out of date"	"El elemento está desactualizado"	"Aktivum je zastaralé"	"Omaisuus on vanhentunut"	"Mise à jour REQUISE"	"Актива застаріла"	"Tillgången är inaktuell"	"Eiendelen er utdatert"	"该资产已经过时"	"Varlık güncel değil"	"Ассет устарел"	"აქტივი მოძველებულია"	"Activul este depășit"	"O ativo está desatualizado"	"Aktywa jest nieaktualne"	"Activa is verouderd"	"Das Vermögen ist veraltet veraltet"	"자산은 구식입니다"	"アセットが古い"	"La risorsa è obsoleta"	"Aset sudah ketinggalan zaman"	"परिसंपत्ति पुरानी है"	"সম্পদ তারিখের বাইরে"	"Tài sản đã lỗi thời"	"الأصول قديمة"
"AssetIsMaybeOutOfDate"	"Asset may be out of date"	"El elemento puede estar desactualizado"	"Aktivum může být zastaralé"	"Omaisuus voi olla vanhentunut"	"L'Item peut être obsolète"	"Актив може бути застарілим"	"Tillgången kan vara föråldrad"	"Eiendelen kan være utdatert"	"该资产可能已经过时"	"Varlık güncel olabilir"	"Ассет может быть устаревшим"	"აქტივი შეიძლება მოძველებული იყოს"	"Activul poate fi depășit"	"O ativo pode estar desatualizado"	"Aktywa może być nieaktualne"	"Het vermogen kan verouderd zijn"	"Vermögenswert kann veraltet sein"	"자산은 구식 일 수 있습니다"	"アセットが古い可能性あり"	"La risorsa può essere obsoleta"	"Aset mungkin ketinggalan zaman"	"संपत्ति पुराने हो सकती है"	"সম্পদ পুরানো হতে পারে"	"Tài sản có thể lỗi thời"	"قد يكون الأصل بعيدا عن التاريخ"
"AssetIsIncomplete"	"Asset is not fully downloaded or is missing files"	"El elemento no está descargado por completo o no tiene todos los archivos"	"Aktivum není plně staženo nebo chybí soubory"	"Omaisuutta ei ladata kokonaan tai puuttuu tiedostoja"	"L'Item n'est pas entièrement téléchargé ou il manque des fichiers"	"Актив не повністю завантажується або не вистачає файлів"	"Tillgången laddas inte helt ner eller saknas filer"	"Eiendelen er ikke lastet ned eller mangler filer fullt ut"	"资产没有下载完整，或者缺少了文件"	"Varlık tam olarak indirilmez veya dosyalar eksik"	"Ассеты не полностью загружен или отсутствуют файлы"	"აქტივი სრულად არ არის გადმოწერილი ან აკლია ფაილები"	"Activul nu este complet descărcat sau lipsește fișierele"	"O ativo não é totalmente baixado ou está ausente arquivos"	"Zasób nie jest w pełni pobierany lub brakuje plików"	"Activa is niet volledig gedownload of ontbreekt bestanden"	"Asset ist nicht vollständig heruntergeladen oder fehlt Dateien"	"자산은 완전히 다운로드되지 않았거나 파일이 누락되었습니다"	"アセットのDLが不完全かファイルが足りません"	"La risorsa non è completamente scaricata o mancano i file"	"Aset tidak sepenuhnya diunduh atau tidak ada file"	"एसेट पूरी तरह से डाउनलोड नहीं है या फाइलें गायब है"	"সম্পদ পুরোপুরি ডাউনলোড হয় না বা ফাইলগুলি অনুপস্থিত"	"Tài sản không được tải xuống đầy đủ hoặc thiếu các tệp"	"لم يتم تنزيل الأصول بالكامل أو مفقود الملفات"
"AssetIsUpToDate"	"Asset is up to date and fully downloaded"	"El elemento está actualizado y descargado por completo"	"Aktivum je aktuální a plně stahováno"	"Omaisuus on ajan tasalla ja ladattu täysin"	"Item à jour et entièrement téléchargé"	"Актив оновлений і повністю завантажений"	"Tillgången är uppdaterad och laddas helt ner helt"	"Eiendelen er oppdatert og lastet ut fullt ut"	"该资产已更新至最新版，并且已完整下载"	"Varlık güncel ve tamamen indirildi"	"Ассет обновлен и полностью загружен"	"აქტივი განახლებულია და სრულად არის გადმოწერილი"	"Activul este actualizat și descărcat complet"	"Asset está atualizado e totalmente baixado"	"Aktywa jest aktualne i w pełni pobrane"	"Activa is up -to -date en volledig gedownload"	"Asset ist auf dem neuesten Stand und wird vollständig heruntergeladen"	"자산은 최신 상태이며 완전히 다운로드됩니다"	"アセットは最新版で全てDL済み"	"La risorsa è aggiornata e scaricata completamente"	"Aset terbaru dan diunduh sepenuhnya"	"संपत्ति अद्यतित है और पूरी तरह से डाउनलोड की गई है"	"সম্পদ আপ টু ডেট এবং সম্পূর্ণ ডাউনলোড"	"Tài sản được cập nhật và tải xuống đầy đủ"	"الأصول محدثة وتم تنزيلها بالكامل"
"Assets"	"Assets"	"Elementos"	"Aktiva"	"Omaisuus"	"Items"	"Активи"	"Tillgångar"	"Eiendeler"	"资产"	"Varlıklar"	"Ассеты"	"ქონება"	"Active"	"Ativos"	"Aktywa"	"Activa"	"Vermögenswerte"	"자산"	"アセット"	"Risorse"	"Aktiva"	"संपत्ति"	"সম্পদ"	"Tài sản"	"أصول"
"Vanilla"	"Vanilla"	"Vanilla"	"Vanilka"	"Vanilja"	"Vanilla"	"Ванілі"	"Vanilj"	"Vanilje"	"原版"	"Vanilya"	"Ваниль"	"ვანილი"	"Vanilie"	"Baunilha"	"Wanilia"	"Vanille"	"Vanille"	"바닐라"	"バニラ"	"Vaniglia"	"Vanila"	"वनीला"	"ভ্যানিলা"	"Vanilla"	"فانيلا"
"UpToDate"	"Up to date"	"Al día"	"Aktuální"	"Ajantasalla"	"À jour !"	"Актуальний"	"Aktuell"	"Oppdatert"	"最新"	"Güncel"	"Обновлен"	"Დღემდე"	"La zi"	"Atualizado"	"Aktualny"	"Actueel"	"Auf dem Laufenden"	"최신 정보"	"最新の状態"	"Aggiornato"	"Up to date"	"आधुनिक"	"আপ টু ডেট"	"Cập nhật"	"حتى الآن"
"StatusUnknown"	"Unknown Status"	"Estado deconocido"	"Neznámý stav"	"Tuntematon tila"	"Statut inconnu"	"Невідомий статус"	"Okänd status"	"Ukjent status"	"未知状态"	"Bilinmeyen Durum"	"Неизвестное состояние"	"უცნობი სტატუსი"	"Statut necunoscut"	"Status desconhecido"	"Nieznany status"	"Onbekende status"	"Unbekannter Status"	"알 수없는 상태"	"状態不明"	"Stato sconosciuto"	"Status yang tidak diketahui"	"अज्ञात स्थिति"	"অজানা অবস্থা"	"Trạng thái không xác định"	"حالة غير معروفة"
"OutOfDate"	"Out of date"	"Desactualizado"	"Zastaralý"	"Vanhentunut"	"Mise à jour REQUISE"	"Застарілий"	"Förfallen"	"Utdatert"	"已过期"	"Tarihi geçmiş"	"Устарел"	"Ვადა გასული"	"Expirat"	"Desatualizado"	"Przeterminowany"	"Verouderd"	"Veraltet"	"오래된"	"古いバージョン"	"Obsoleto"	"Kadaluarsa"	"अप्रचलित"	"তারিখের বাইরে"	"Hết hạn"	"انتهت صلاحيته"
"PartiallyDownloaded"	"Partially downloaded"	"Parcialmente descargado"	"Částečně staženo"	"Osittain ladattu"	"INCOMPLET"	"Частково завантажено"	"Delvis nedladdad"	"Delvis lastet ned"	"没有完整下载"	"Kısmen indirildi"	"Частично загружен"	"ნაწილობრივ გადმოწერილი"	"Descărcat parțial"	"Parcialmente baixados"	"Częściowo pobrane"	"Gedeeltelijk gedownload"	"Teilweise heruntergeladen"	"부분적으로 다운로드"	"一部をDL済み"	"Parzialmente scaricato"	"Diunduh sebagian"	"आंशिक रूप से डाउनलोड किया गया"	"আংশিক ডাউনলোড"	"Tải xuống một phần"	"تم تنزيله جزئيًا"
"CompatibilityReport"	"Compatibility Report"	"Informe de compatibilidad"	"Zpráva kompatibility"	"Yhteensopivuusraportti"	"Compatibilité"	"Звіт про сумісність"	"Kompatibilitetsrapport"	"Kompatibilitetsrapport"	"兼容性报告"	"Uyumluluk raporu"	"Отчет о совместимости"	"თავსებადობის ანგარიში"	"Raport de compatibilitate"	"Relatório de compatibilidade"	"Raport zgodności"	"Compatibiliteitsrapport"	"Kompatibilitätsbericht"	"호환성 보고서"	"Compatibility Report"	"Rapporto di compatibilità"	"Laporan Kompatibilitas"	"संगतता रिपोर्ट"	"সামঞ্জস্যতা প্রতিবেদন"	"Báo cáo tương thích"	"تقرير التوافق"
"Back"	"Back"	"Atrás"	"Zadní"	"Takaisin"	"Retour"	"Спинка"	"Tillbaka"	"Tilbake"	"返回"	"Geri"	"Назад"	"ზურგი"	"Înapoi"	"Voltar"	"Z powrotem"	"Rug"	"Zurück"	"뒤쪽에"	"戻る"	"Indietro"	"Kembali"	"पीछे"	"পেছনে"	"Mặt sau"	"خلف"
"Profiles"	"Profiles"	"Perfiles"	"Profily"	"Profiilit"	"Profils"	"Профілі"	"Profiler"	"Profiler"	"配置文件"	"Profiller"	"Профили"	"პროფილები"	"Profiluri"	"Perfis"	"Profile"	"Profielen"	"Profile"	"프로필"	"プロファイル"	"Profili"	"Profil"	"प्रोफाइल"	"প্রোফাইল"	"Hồ sơ"	"مظهر"
"AutoProfileSaveOn"	"Auto-save is enabled"	"Auto-Save está habilitado"	"Automatické save je povoleno"	"Automaattinen säästö on käytössä"	"Sauvegarde automatique activée"	"Автоматичне ввімкнення увімкнено"	"Auto-Save är aktiverad"	"Auto-lave er aktivert"	"已启用自动保存"	"Otomatik kaydetme etkinleştirildi"	"Автосохранение активировано"	"ჩართულია ავტომატური დაზოგვა"	"Auto-salvare este activat"	"SAVE automática está ativada"	"Auto-Save jest włączona"	"Auto-save is ingeschakeld"	"Auto-Save ist aktiviert"	"자동 사원이 활성화되었습니다"	"オートセーブが有効"	"Il salvataggio automatico è abilitato"	"Auto-Save diaktifkan"	"ऑटो-सेव सक्षम है"	"অটো-সেভ সক্ষম করা হয়"	"Tự động lưu được bật"	"يتم تمكين التلقائي التلقائي"
